type,x,y,time
mouse,58,166,1775454016494
mouse,56,167,1775454016500
mouse,55,167,1775454016506
mouse,52,168,1775454016512
mouse,51,168,1775454016518
mouse,50,168,1775454016536
mouse,49,168,1775454016543
mouse,48,168,1775454016552
mouse,47,168,1775454016566
mouse,46,168,1775454016585
mouse,45,168,1775454016595
mouse,44,168,1775454016609
mouse,43,167,1775454016627
mouse,42,166,1775454016636
mouse,41,166,1775454016643
mouse,40,166,1775454016657
mouse,39,166,1775454016675
mouse,39,165,1775454016684
mouse,38,165,1775454016700
mouse,650,285,1775454345499
mouse,651,277,1775454345507
mouse,652,268,1775454345515
mouse,652,261,1775454345519
mouse,652,255,1775454345526
mouse,651,249,1775454345533
mouse,649,243,1775454345540
mouse,647,239,1775454345547
mouse,642,233,1775454345560
mouse,636,228,1775454345566
mouse,628,220,1775454345572
mouse,617,212,1775454345579
mouse,605,203,1775454345584
mouse,596,196,1775454345591
mouse,588,190,1775454345596
mouse,581,185,1775454345603
mouse,575,181,1775454345610
mouse,570,179,1775454345616
mouse,567,177,1775454345623
mouse,564,175,1775454345630
mouse,560,172,1775454345637
mouse,554,169,1775454345644
mouse,548,165,1775454345657
mouse,540,160,1775454345663
mouse,528,152,1775454345669
mouse,512,143,1775454345675
mouse,495,132,1775454345681
mouse,484,125,1775454345687
mouse,476,120,1775454345695
mouse,472,118,1775454345699
mouse,470,117,1775454345706
mouse,468,116,1775454345713
mouse,467,115,1775454345720
mouse,466,115,1775454345736
mouse,464,115,1775454345742
mouse,461,114,1775454345748
mouse,458,114,1775454345755
mouse,453,114,1775454345762
mouse,446,114,1775454345769
mouse,438,115,1775454345776
mouse,428,117,1775454345783
mouse,419,117,1775454345790
mouse,410,118,1775454345803
mouse,403,121,1775454345809
mouse,396,121,1775454345815
mouse,389,122,1775454345821
mouse,384,123,1775454345827
mouse,379,124,1775454345834
mouse,375,125,1775454345839
mouse,370,126,1775454345846
mouse,366,127,1775454345852
mouse,362,127,1775454345859
mouse,357,128,1775454345866
mouse,355,128,1775454345873
mouse,352,128,1775454345880
mouse,350,128,1775454345887
mouse,348,128,1775454345899
mouse,347,128,1775454345907
mouse,347,127,1775454345914
mouse,348,127,1775454345930
mouse,351,126,1775454345938
mouse,362,124,1775454345943
mouse,387,121,1775454345949
mouse,439,117,1775454345956
mouse,480,117,1775454345963
mouse,518,121,1775454345970
mouse,552,125,1775454345977
mouse,580,132,1775454345984
mouse,606,138,1775454345996
mouse,628,144,1775454346002
mouse,647,149,1775454346009
mouse,659,153,1775454346014
mouse,672,156,1775454346021
mouse,680,157,1775454346027
mouse,689,159,1775454346034
mouse,696,160,1775454346040
mouse,701,161,1775454346047
mouse,706,161,1775454346054
mouse,710,163,1775454346061
mouse,713,165,1775454346067
mouse,716,165,1775454346074
mouse,720,168,1775454346081
mouse,722,169,1775454346093
mouse,724,171,1775454346099
mouse,727,172,1775454346106
mouse,728,173,1775454346112
mouse,729,175,1775454346117
mouse,730,176,1775454346124
mouse,731,176,1775454346130
mouse,732,176,1775454346137
mouse,732,177,1775454346144
mouse,732,178,1775454346160
mouse,732,180,1775454346166
mouse,732,182,1775454346173
mouse,732,187,1775454346179
mouse,728,194,1775454346185
mouse,727,202,1775454346192
mouse,723,211,1775454346199
mouse,718,221,1775454346206
mouse,712,231,1775454346213
mouse,706,241,1775454346220
mouse,700,250,1775454346233
mouse,694,259,1775454346239
mouse,690,265,1775454346245
mouse,688,267,1775454346251
mouse,686,269,1775454346257
mouse,685,269,1775454346263
mouse,684,271,1775454346269
mouse,681,272,1775454346276
mouse,677,274,1775454346282
mouse,666,279,1775454346289
mouse,652,285,1775454346297
mouse,632,290,1775454346304
mouse,620,293,1775454346310
mouse,616,294,1775454346317
mouse,613,295,1775454346325
mouse,611,295,1775454346331
mouse,609,295,1775454346338
mouse,608,295,1775454346354
mouse,607,295,1775454346373
mouse,606,295,1775454346380
mouse,605,295,1775454346387
mouse,604,295,1775454346408
mouse,602,295,1775454346416
