session_id,user_id,label,scenario,mouse_velocity_mean,mouse_velocity_variance,mouse_acceleration_variance,click_interval_std,typing_speed_mean,typing_speed_variance,key_hold_time_mean,navigation_entropy,page_transition_pattern,dwell_time_per_page
21241c8f-7258-4c09-a4ec-67864a6accdd,ayamgoreng,0,real_normal,465.927002774247,257391.07930085447,116347045.5473458,3.004108938162043,0.0,0.0,0.0,1.9219280948873623,0.3333333333333333,9.631900024414062
d8072140-155b-4116-a36a-51c9d489f35e,bacangayam,0,real_normal,594.6464273431575,695132.1408450117,375469121.26344573,4.0992381190568805,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,47.53659999370575
f201033a-e548-47cc-b2e3-cb9b44a0fdc2,cachachachi,0,real_normal,469.9038425364522,316432.0978487158,112860845.07998522,3.8192363447735667,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,7.104500007629395
3ff40811-73e0-4987-8486-abcf1c52f5c0,dontolbeban,0,real_normal,397.84488189096095,449058.12261295726,175680987.46121997,2.0982369252327846,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,7.74319999217987
c36d02fd-9fc0-4b8b-8dde-053b3b717aac,enamaniko,0,real_normal,354.9222133808705,239403.87252765906,110705956.40809692,1.8526556328252501,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,9.036899995803832
fd89da65-05ff-429e-bb96-488d5b80f134,fahragai,0,real_normal,276.6707421447844,233856.1018511504,128382831.41163966,2.6800802264574877,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,6.297199988365174
0c687250-98ae-4ad0-91b1-49d8a3a758ea,gordonramsay2109,0,real_normal,359.81149096891335,330121.77805654006,149438838.8529365,2.123056370089106,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,7.082500028610229
da4907ba-6e3c-48a7-b72c-b3d616d234a5,hahaahahhaahahhahaha,0,real_normal,338.09480963427995,154191.10662660707,84073725.95439325,1.7175357464445058,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,8.033199977874755
272b6c9e-a2a6-438d-a160-9db8094d296a,ianmarviansetaiaiiaj,0,real_normal,286.6338882164078,178962.03344711705,105210175.4629197,1.1619042299875402,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,8.960099959373474
94212ade-fa44-41b2-af60-4c8113ea4662,jokowirawan,0,real_normal,254.13813775793898,174332.0111317795,85960177.2203843,1.8395460817848401,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,12.381199979782105
321e2b10-02fd-4152-bf1a-6857a2a010e0,kolaksegar,0,real_normal,310.31391233018275,175221.13005958064,107196986.43640354,1.965288413852114,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,8.980400037765502
5d345486-1f1d-47b2-931c-7d44dc6bfda3,llamalaamalapolll,0,real_normal,333.9864115070869,383878.9145157182,134716398.00468883,3.737483608832379,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,7.49779999256134
8de97928-a7ba-43c0-bdd6-e37cff61de8a,monalisa,0,real_normal,390.4120181736936,454321.5940704548,139381476.14023578,2.5173595576465075,0.0,0.0,0.0,1.9182958340544893,0.0,5.036749978860219
603ef2ee-24b8-4271-92ef-97482bcdfd80,nanonanonougat,0,real_normal,364.99714422182194,289985.3491798405,90950871.33105013,1.2909594047708455,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,6.172699999809265
a1945561-7667-44bb-bc0b-f771a4cf3e70,operagxhauuyuuuu,0,real_normal,316.23347463828,136687.10327903886,59776766.552074194,2.954252248856155,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,8.41340000629425
dbcb2587-7a06-43fd-a148-b7e2b6a67d79,promaagnoooo,0,real_normal,282.8083795598194,95818.61501819637,48242338.803765446,1.3105860210434508,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,8.113599967956542
c81c6a3c-77ec-40a2-ad59-39892955c4be,queenkezia,0,real_normal,455.89232332984847,454841.73319085303,185789678.2442684,2.74323889997662,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,9.802199959754944
7492c3b2-39d1-4647-8d1f-3589eccf1bc4,rawwwwrrrrr,0,real_normal,219.84019247755697,183715.3784392606,37918221.73820307,1.4838316318817395,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,8.30629997253418
e0802bce-6783-4291-9244-19b4f6ad62a7,supranaruralriomario,0,real_normal,339.1411442941853,224474.331000533,85649977.98748538,2.214093115472608,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,7.381799983978271
4d72aebc-f810-4ef8-9881-2a280e2f5b3f,tomangtomato,0,real_normal,433.1807979455879,562740.7431501109,323386392.8945986,2.2078212393215852,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,7.041000008583069
6d363603-d618-4abd-bb6a-47a9e77407ac,underground,0,real_normal,291.2614768765142,195511.90056645471,72005282.35831822,1.1465840211004201,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,11.145699954032898
d7676fd1-ded7-48f7-bf5f-aa509d9affde,velocity,0,real_normal,355.3275346252596,235402.65812591513,118913828.12808624,1.7286615201828819,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,25.769899988174437
92b3001a-f015-4ea4-89af-4496da13a358,worsteschwirhrsauce,0,real_normal,464.9454180811589,658604.1235513717,324236073.94495255,4.309946375976864,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,9.079999995231628
13589810-f44e-47da-80a6-0e52347172da,xavier,0,real_normal,189.49708233940842,96629.79228026747,38328870.272059776,1.7047184248922604,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,11.811100006103516
2a1cc9e1-5096-4d90-911c-cfdc80167e93,ybrap,0,real_normal,417.70371466917675,468080.2715526584,180311000.39009503,19.835171203309706,0.0,0.0,0.0,1.8423709931771088,0.6,17.83978569507599
4d97e30c-e84d-4213-b901-3260d4967624,zuckerberh,0,real_normal,361.1250249505217,336048.3905268315,211282663.62214828,4.02164097002312,0.0,0.0,0.0,1.9219280948873623,0.6666666666666666,10.627800011634827
