2327.0,1498.0,5.0,0.0,25168.0
3107.6666666666665,1279.0,4.0,0.0,23260.0
3748.375,1668.0,9.0,0.0,38388.0
4489.0,1212.0,5.0,0.0,21802.0
1891.3,1880.0,11.0,0.0,30216.0
3888.0,1049.0,6.0,0.0,22860.0
2614.8333333333335,1628.0,7.0,0.0,25022.0
2626.5714285714284,1347.0,8.0,0.0,23113.0
1905.75,996.0,9.0,0.0,17756.0
3292.5,773.0,5.0,0.0,18940.0
4780.5,939.0,5.0,0.0,22386.0
1861.0,990.0,3.0,0.0,73951.0
2608.4,906.0,6.0,0.0,16161.0
2344.8,684.0,6.0,0.0,14504.0
4098.0,853.0,4.0,0.0,15196.0
3796.8,912.0,6.0,0.0,20191.0
4698.5,806.0,5.0,0.0,20696.0
716.6666666666666,353.0,7.0,0.0,5963.0
1221.0,382.0,2.0,0.0,3623.0
1020.6666666666666,510.0,4.0,0.0,5027.0
0,42,0,0,379
0,53,0,0,557
0,23,0,0,241
0,19,0,0,357
2350.0,408.0,2.0,0.0,5817.0
0,168,1,0,1919
1369.6,780.0,6.0,0.0,9281.0
0,64,0,0,448
0,62,0,0,497
0,141,0,0,1512
0,182,0,0,2392
0,0,1,0,0
0,0,1,0,0
1250.0,31.0,2.0,0.0,3810.0
0,116,0,0,1426
0,120,0,0,933
0,107,0,0,72945
0,131,0,0,1007
0,106,0,0,839
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,112,0,0,4508
0,46,0,0,1940
0,65,0,0,1028
0,48,0,0,426
751.0,295.0,3.0,0.0,2874.0
0,384,1,0,3412152
0,158,1,0,2943
277224.0,199.0,2.0,0.0,277590.0
888.0,280.0,2.0,0.0,2632.0
2454.5,465.0,3.0,0.0,8396.0
0,55,0,0,406
0,217,0,0,1979
0,134,0,0,5133
0,253,0,0,1903
0,109,0,0,487271
0,114,0,0,22543
0,326,1,0,2883
795.4444444444445,481.0,10.0,0.0,8365.0
0,208,0,0,401421
0,95,0,0,735
0,150,0,0,1056
1125.5,468.0,5.0,0.0,7533.0
1408.0,327.0,2.0,0.0,4029.0
0,46,0,0,414
0,0,1,0,0
0,2,0,0,66
0,0,1,0,0
0,2,0,0,4
0,10,0,0,745
0,33,0,0,292
0,12,0,0,186
0,15,0,0,621
0,17,0,0,514
0,55,0,0,513
769.0,226.0,3.0,0.0,3022.0
1227.0,134.0,2.0,0.0,2280.0
1017.0,163.0,2.0,0.0,2456.0
969.0,199.0,2.0,0.0,2486.0
0,26,0,0,292
0,95,0,0,677
0,8,1,0,2721
734.0,0.0,2.0,0.0,734.0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,252,1,0,73111
0,68,0,0,557
0,123,0,0,1563
0,33,0,0,481
3248.3333333333335,235.0,4.0,0.0,10085.0
2216.5,882.0,5.0,0.0,10295.0
